x y our kmeans spectral gmm
-1.876682500000000031e+00 4.658120099999999986e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.830101299999999931e+00 4.662162699999999882e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.783479700000000001e+00 4.667448299999999994e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.736805200000000049e+00 4.673739299999999930e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.690067800000000009e+00 4.680799900000000013e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.643259800000000048e+00 4.688396499999999967e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.596375799999999900e+00 4.696297899999999914e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.549412900000000093e+00 4.704275399999999774e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.502370100000000042e+00 4.712103300000000106e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.455249100000000073e+00 4.719559500000000130e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.408053500000000069e+00 4.726425399999999999e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.360789199999999921e+00 4.732486799999999771e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.313464299999999918e+00 4.737534199999999807e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
-1.266089000000000020e+00 4.741363800000000239e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
